player_name,fw_def,link
Brad Tapper,FW,https://www.eliteprospects.com/player/12594/brad-tapper
Chris Joseph,DEF,https://www.eliteprospects.com/player/54404/chris-joseph
Andrei Skopintsev,DEF,https://www.eliteprospects.com/player/18535/andrei-skopintsev
Sergei Vyshedkevich,DEF,https://www.eliteprospects.com/player/18541/sergei-vyshedkevich
Joël Bouchard,DEF,https://www.eliteprospects.com/player/9085/joel-bouchard
Adam Burt,DEF,https://www.eliteprospects.com/player/67366/adam-burt
Bryan Adams,FW,https://www.eliteprospects.com/player/12844/bryan-adams
David Harlock,DEF,https://www.eliteprospects.com/player/27441/david-harlock
Brad Ralph,FW,https://www.eliteprospects.com/player/12395/brad-ralph
Jean-Pierre Vigier,FW,https://www.eliteprospects.com/player/8841/jean-pierre-vigier
Dan Snyder,FW,https://www.eliteprospects.com/player/41393/dan-snyder
Tavis Hansen,FW,https://www.eliteprospects.com/player/23398/tavis-hansen
Jason Jaspers,FW,https://www.eliteprospects.com/player/9029/jason-jaspers
Luke Sellars,DEF,https://www.eliteprospects.com/player/10894/luke-sellars
Kirill Safronov,DEF,https://www.eliteprospects.com/player/9557/kirill-safronov
D.J. Smith,DEF,https://www.eliteprospects.com/player/69476/d.j.-smith
Frank Banham,FW,https://www.eliteprospects.com/player/8491/frank-banham
Pavel Vorobyov,FW,https://www.eliteprospects.com/player/9561/pavel-vorobyov
Brennan Evans,DEF,https://www.eliteprospects.com/player/10638/brennan-evans
Goran Bezina,DEF,https://www.eliteprospects.com/player/12299/goran-bezina
Mike Stutzel,FW,https://www.eliteprospects.com/player/7591/mike-stutzel
Matt Jones,DEF,https://www.eliteprospects.com/player/9444/matt-jones
Yanick Lehoux,FW,https://www.eliteprospects.com/player/7798/yanick-lehoux
Jonas Johansson,FW,https://www.eliteprospects.com/player/133/jonas-johansson
Patrick Fischer,FW,https://www.eliteprospects.com/player/10227/patrick-fischer
Jordan Smotherman,FW,https://www.eliteprospects.com/player/11568/jordan-smotherman
Kevin Doell,FW,https://www.eliteprospects.com/player/11567/kevin-doell
Peter Vandermeer,DEF,https://www.eliteprospects.com/player/13413/peter-vandermeer
Boris Valábik,DEF,https://www.eliteprospects.com/player/9244/boris-valabik
Viktor Tikhonov,FW,https://www.eliteprospects.com/player/15235/viktor-tikhonov
Grant Lewis,DEF,https://www.eliteprospects.com/player/14106/grant-lewis
Scott Lehman,DEF,https://www.eliteprospects.com/player/11756/scott-lehman
Shaun Heshka,DEF,https://www.eliteprospects.com/player/8606/shaun-heshka
Andrei Zubarev,DEF,https://www.eliteprospects.com/player/9257/andrei-zubarev
Matt Watkins,FW,https://www.eliteprospects.com/player/14871/matt-watkins
Andy Miele,FW,https://www.eliteprospects.com/player/15665/andy-miele
Justin Hodgman,FW,https://www.eliteprospects.com/player/14428/justin-hodgman
Daniil Tarasov,FW,https://www.eliteprospects.com/player/38672/daniil-tarasov
Brendan Shinnimin,FW,https://www.eliteprospects.com/player/37254/brendan-shinnimin
Tyler Gaudet,FW,https://www.eliteprospects.com/player/96052/tyler-gaudet
Henrik Samuelsson,FW,https://www.eliteprospects.com/player/33217/henrik-samuelsson
Viktor Svedberg,DEF,https://www.eliteprospects.com/player/13538/viktor-svedberg
Mario Kempe,FW,https://www.eliteprospects.com/player/4407/mario-kempe
Trevor Murphy,DEF,https://www.eliteprospects.com/player/110850/trevor-murphy
Victor Söderström,DEF,https://www.eliteprospects.com/player/344555/victor-soderstrom
Dysin Mayo,DEF,https://www.eliteprospects.com/player/120638/dysin-mayo
Vladislav Kolyachonok,DEF,https://www.eliteprospects.com/player/490232/vladislav-kolyachonok
Ben McCartney,FW,https://www.eliteprospects.com/player/351230/ben-mccartney
Milos Kelemen,FW,https://www.eliteprospects.com/player/272381/milos-kelemen
Aku Räty,FW,https://www.eliteprospects.com/player/395509/aku-raty
Nikolai Kovalenko,FW,https://www.eliteprospects.com/player/339499/nikolai-kovalenko
Cameron Crotty,DEF,https://www.eliteprospects.com/player/299556/cameron-crotty
Maksymilian Szuber,DEF,https://www.eliteprospects.com/player/393666/maksymilian-szuber
Patrik Koch,DEF,https://www.eliteprospects.com/player/112388/patrik-koch
Calum Ritchie,FW,https://www.eliteprospects.com/player/603108/calum-ritchie
Zeev Buium,DEF,https://www.eliteprospects.com/player/603229/zeev-buium
Alexander Nikishin,DEF,https://www.eliteprospects.com/player/514652/alexander-nikishin
Daniil Misyul,DEF,https://www.eliteprospects.com/player/395127/daniil-misyul
Nate Clurman,DEF,https://www.eliteprospects.com/player/353810/nate-clurman
Jacob Gaucher,FW,https://www.eliteprospects.com/player/290162/jacob-gaucher
Jere Innala,FW,https://www.eliteprospects.com/player/277079/jere-innala
